"time","close","high","low","open","volumefrom","volumeto","conversionType","conversionSymbol","ts","timeDate"
1520553600000,0.1396,0.1487,0.1261,0.1455,2660621.76,363236.25,"direct","",1520553600,"2018-03-08"
1520640000000,0.1316,0.145,0.128,0.1396,1724153.37,239690.63,"direct","",1520640000,"2018-03-09"
1520726400000,0.1361,0.1401,0.1258,0.1316,720071.23,96435.18,"direct","",1520726400,"2018-03-10"
1520812800000,0.1324,0.1396,0.1272,0.1361,1344448.04,179713.6,"direct","",1520812800,"2018-03-11"
1520899200000,0.1296,0.1366,0.1272,0.1324,722926.33,94459.13,"direct","",1520899200,"2018-03-12"
1520985600000,0.1171,0.1316,0.1169,0.1296,1646776.96,204215.23,"direct","",1520985600,"2018-03-13"
1521072000000,0.1077,0.1181,0.09823,0.1171,3022552.13,320037.02,"direct","",1521072000,"2018-03-14"
1521158400000,0.1049,0.1095,0.1012,0.1077,1329240.51,141216.5,"direct","",1521158400,"2018-03-15"
1521244800000,0.08957,0.1057,0.08869,0.1049,2018913.28,194025.86,"direct","",1521244800,"2018-03-16"
1521331200000,0.09813,0.1026,0.07453,0.08957,3927022.79,338948.79,"direct","",1521331200,"2018-03-17"
1521417600000,0.115,0.1178,0.09813,0.09813,5738805.08,634579.87,"direct","",1521417600,"2018-03-18"
1521504000000,0.1146,0.119,0.1061,0.115,3886395.8,441249.94,"direct","",1521504000,"2018-03-19"
1521590400000,0.1114,0.1197,0.109,0.1146,1365388.85,155346.35,"direct","",1521590400,"2018-03-20"
1521676800000,0.109,0.1188,0.1037,0.1114,907205.23,100163.19,"direct","",1521676800,"2018-03-21"
1521763200000,0.1016,0.1106,0.09808,0.109,1402365.6,142532.62,"direct","",1521763200,"2018-03-22"
1521849600000,0.09869,0.1095,0.0985,0.1016,2868521.69,294536.58,"direct","",1521849600,"2018-03-23"
1521936000000,0.09909,0.1021,0.09411,0.09869,1112987.01,109527.78,"direct","",1521936000,"2018-03-24"
1522022400000,0.09207,0.1008,0.08683,0.09909,1490228.79,134783.34,"direct","",1522022400,"2018-03-25"
1522108800000,0.08867,0.09438,0.08324,0.09207,1029368.02,91908.48,"direct","",1522108800,"2018-03-26"
1522195200000,0.091,0.09483,0.08765,0.08867,853948.23,77768.94,"direct","",1522195200,"2018-03-27"
1522281600000,0.08682,0.09305,0.08201,0.091,1373994.71,118609.85,"direct","",1522281600,"2018-03-28"
